aX,aY,aZ,gX,gY,gZ
0.288,-0.721,0.385,102.966,-19.775,91.003
0.272,-0.637,0.337,128.113,-24.170,102.539
0.233,-0.557,0.389,141.113,-35.889,109.009
0.208,-0.503,0.501,137.939,-48.279,110.229
0.139,-0.473,0.647,92.346,-53.345,104.614
0.019,-0.457,0.756,27.649,-48.096,95.215
-0.128,-0.425,0.848,-16.235,-39.124,88.196
-0.313,-0.342,0.938,-36.377,-30.640,85.144
-0.619,-0.124,1.250,-47.668,-25.635,83.923
-0.892,0.343,1.925,-43.213,-19.409,83.252
-1.277,1.135,2.944,-45.471,7.568,89.294
-1.725,2.405,3.998,-70.923,78.613,98.083
-2.663,3.999,4.000,-61.829,190.247,99.670
-3.765,4.000,4.000,-32.776,354.675,23.437
-4.000,4.000,4.000,-185.730,585.266,-221.130
-4.000,4.000,3.584,-329.285,793.213,-615.234
-4.000,3.222,2.062,-327.271,861.877,-971.619
-4.000,1.764,0.754,-209.412,827.637,-1150.208
-4.000,0.981,-0.690,18.799,784.546,-1195.740
-4.000,0.076,-1.828,174.133,750.061,-1209.106
-4.000,-1.150,-2.586,118.774,698.730,-1229.248
-4.000,-3.138,-2.187,-14.771,576.355,-1273.743
-4.000,-4.000,-1.075,-82.336,446.228,-1262.573
-4.000,-4.000,-0.970,-105.835,423.950,-1091.858
-4.000,-4.000,-2.323,-78.064,479.614,-778.259
-4.000,-4.000,-3.999,10.376,483.887,-460.449
-3.422,-3.715,-4.000,70.435,355.164,-259.766
-2.843,-3.078,-3.634,98.328,139.587,-170.349
-2.434,-2.653,-1.746,91.064,-30.518,-115.845
-2.034,-1.963,-0.508,81.421,-86.121,-49.194
-1.679,-1.324,-0.080,61.951,-66.772,-4.822
-1.468,-1.195,-0.057,30.518,-33.936,-7.507
-1.218,-1.592,-0.146,3.906,-14.221,-31.555
-1.065,-1.880,-0.371,-6.470,-4.211,-32.715
-0.925,-1.814,-0.523,10.803,-8.240,-7.812
-0.846,-1.683,-0.440,35.034,-27.405,17.151
-0.811,-1.599,-0.216,51.147,-46.448,31.311
-0.783,-1.487,-0.089,66.956,-52.063,43.823
-0.794,-1.272,-0.102,78.674,-47.485,57.617
-0.794,-1.062,-0.250,86.487,-40.588,67.444
-0.796,-1.018,-0.411,91.125,-39.612,65.063
-0.818,-1.144,-0.551,91.370,-45.410,57.007
-0.872,-1.378,-0.615,95.581,-58.350,53.833
-0.909,-1.587,-0.638,105.408,-76.538,62.134
-0.968,-1.777,-0.702,116.272,-94.421,79.163
-1.033,-1.954,-0.678,125.000,-115.601,99.854
-1.084,-2.099,-0.579,135.986,-137.695,125.122
-1.217,-2.173,-0.383,144.897,-154.724,156.982
-1.220,-2.068,-0.151,156.006,-162.720,196.472
-1.208,-1.824,-0.078,170.532,-159.180,237.793
-1.178,-1.626,-0.109,173.950,-151.367,264.038
-1.130,-1.596,-0.163,167.480,-148.193,274.780
-1.101,-1.708,-0.219,159.485,-149.109,278.870
-1.094,-1.862,-0.319,150.513,-151.062,286.621
-1.112,-1.946,-0.431,141.724,-153.870,303.833
-1.132,-2.006,-0.507,138.611,-161.255,327.393
-1.235,-2.018,-0.466,143.982,-175.781,356.445
-1.277,-1.905,-0.306,159.912,-193.542,392.456
-1.305,-1.586,-0.181,168.213,-203.369,433.472
-1.306,-1.254,-0.121,156.433,-203.125,463.806
-1.242,-1.100,-0.062,129.517,-196.899,473.999
-1.153,-1.085,-0.154,94.849,-179.993,476.196
-1.095,-1.028,-0.368,60.425,-155.518,484.680
-1.073,-0.884,-0.561,59.509,-142.273,499.451
-1.039,-0.603,-0.636,74.768,-147.400,517.883
-0.943,-0.231,-0.544,79.834,-162.109,531.433
-0.780,0.147,-0.401,80.811,-174.744,531.433
-0.600,0.494,-0.304,84.656,-177.979,518.250
-0.358,0.801,-0.218,80.994,-174.927,493.042
-0.153,0.980,-0.159,66.711,-166.382,452.820
0.059,0.995,-0.113,39.551,-151.367,394.592
0.225,0.973,-0.055,6.287,-132.751,338.623
0.384,0.750,-0.145,-12.817,-109.070,281.006
0.491,0.486,-0.354,-24.414,-83.435,237.488
0.535,0.364,-0.442,-63.904,-71.472,215.942
0.601,0.355,-0.439,-70.496,-71.167,205.750
0.618,0.358,-0.427,-47.302,-71.411,197.205
0.646,0.396,-0.403,-30.212,-70.374,186.340
0.656,0.497,-0.363,-18.188,-68.237,176.270
0.690,0.612,-0.329,3.174,-65.186,163.452
0.731,0.695,-0.312,21.057,-61.401,144.775
0.762,0.667,-0.328,20.996,-55.176,117.737
0.770,0.464,-0.330,11.536,-49.683,85.693
0.791,0.272,-0.299,2.197,-48.279,62.805
0.797,0.230,-0.267,-1.099,-48.218,56.702
0.807,0.273,-0.255,-8.484,-46.509,56.458
0.814,0.284,-0.254,-24.231,-43.274,51.575
0.809,0.251,-0.227,-45.715,-40.222,43.152
0.855,0.238,-0.195,-52.002,-38.269,37.231
0.801,0.284,-0.180,-47.913,-35.095,34.546
-0.734,-0.475,0.071,-40.894,6.958,413.879
-0.580,-0.362,-0.115,-59.937,15.320,392.517
-0.454,-0.312,-0.286,-75.867,16.724,369.690
-0.318,-0.268,-0.397,-85.815,7.874,349.182
-0.201,-0.259,-0.439,-95.764,-7.874,329.468
-0.122,-0.316,-0.377,-106.201,-30.029,308.411
-0.053,-0.378,-0.161,-109.802,-55.603,291.748
0.007,-0.371,0.094,-105.896,-74.890,284.485
0.061,-0.321,0.227,-101.074,-78.064,279.297
0.139,-0.204,0.241,-102.112,-71.350,272.034
0.087,-0.070,0.233,-99.182,-67.078,262.512
0.149,0.083,0.284,-85.388,-71.106,251.953
0.248,0.217,0.351,-66.467,-75.134,234.314
0.335,0.236,0.395,-65.308,-76.843,204.712
0.347,0.129,0.393,-76.599,-74.280,170.471
0.389,-0.019,0.429,-86.914,-72.083,140.808
