aX,aY,aZ,gX,gY,gZ
0.448,0.306,-0.913,4.517,21.301,-2.136
0.448,0.309,-0.918,5.371,20.386,-2.075
0.447,0.313,-0.933,6.775,19.165,-1.892
0.446,0.324,-0.943,7.263,16.907,-1.099
0.455,0.324,-0.942,7.263,15.015,-0.122
0.454,0.326,-0.938,5.920,13.794,0.305
0.455,0.333,-0.930,2.930,13.123,0.427
0.455,0.333,-0.909,0.244,12.695,0.122
0.457,0.331,-0.892,-1.770,12.878,-0.305
0.461,0.329,-0.881,-3.723,13.733,-0.854
0.463,0.326,-0.874,-5.615,14.099,-1.343
0.456,0.329,-0.872,-6.592,14.404,-1.770
0.446,0.330,-0.872,-6.714,14.343,-1.953
0.438,0.338,-0.887,-7.141,14.709,-1.343
0.440,0.350,-0.898,-7.263,14.099,-0.671
0.443,0.359,-0.910,-7.385,12.512,-0.183
0.454,0.371,-0.919,-8.240,10.620,-0.061
0.473,0.377,-0.916,-8.789,8.240,-0.610
0.476,0.387,-0.899,-9.399,5.615,-1.160
0.488,0.399,-0.879,-11.902,5.249,-2.502
0.499,0.409,-0.858,-13.733,5.371,-4.578
0.495,0.413,-0.841,-15.381,5.676,-7.507
0.500,0.411,-0.824,-16.235,6.165,-10.254
0.492,0.420,-0.825,-16.113,6.592,-13.062
0.502,0.431,-0.827,-15.930,7.080,-15.991
0.545,0.467,-0.813,-18.677,8.179,-19.653
0.555,0.511,-0.805,-21.301,9.766,-27.100
0.576,0.578,-0.796,-24.048,13.245,-37.170
0.629,0.708,-0.817,-29.968,20.996,-50.049
0.747,0.884,-0.893,-36.377,29.358,-68.481
0.806,1.125,-1.008,-52.246,38.025,-100.952
0.790,1.328,-1.224,-67.810,47.485,-148.621
0.749,1.453,-1.390,-83.618,52.246,-208.679
0.410,1.427,-1.428,-115.906,53.955,-280.579
-0.211,1.209,-1.345,-156.738,56.458,-348.938
-0.835,0.783,-1.113,-205.566,74.158,-404.175
-1.504,-0.044,-0.870,-253.845,98.206,-427.368
